(ep: 2, it: 133600, t: 0.057[s], ept: 2.06/2.33[h]) loss_total: 0.559, acc_r: 0.730
(ep: 2, it: 138600, t: 0.057[s], ept: 2.13/2.33[h]) loss_total: 0.368, acc_r: 0.840
(ep: 2, it: 143600, t: 0.057[s], ept: 2.21/2.33[h]) loss_total: 0.508, acc_r: 0.770
(ep: 2, it: 148600, t: 0.057[s], ept: 2.29/2.33[h]) loss_total: 0.532, acc_r: 0.780
(ep: 3, it: 2200, t: 0.057[s], ept: 0.03/2.39[h]) loss_total: 0.479, acc_r: 0.800
(ep: 3, it: 7200, t: 0.057[s], ept: 0.11/2.35[h]) loss_total: 0.487, acc_r: 0.770
(ep: 3, it: 12200, t: 0.057[s], ept: 0.19/2.34[h]) loss_total: 0.463, acc_r: 0.810
(ep: 3, it: 17200, t: 0.057[s], ept: 0.26/2.34[h]) loss_total: 0.469, acc_r: 0.820
(ep: 3, it: 22200, t: 0.057[s], ept: 0.34/2.34[h]) loss_total: 0.506, acc_r: 0.770
(ep: 3, it: 27200, t: 0.057[s], ept: 0.42/2.34[h]) loss_total: 0.584, acc_r: 0.690
(ep: 3, it: 32200, t: 0.057[s], ept: 0.50/2.34[h]) loss_total: 0.513, acc_r: 0.810
(ep: 3, it: 37200, t: 0.057[s], ept: 0.57/2.33[h]) loss_total: 0.498, acc_r: 0.720
(ep: 3, it: 42200, t: 0.057[s], ept: 0.65/2.33[h]) loss_total: 0.506, acc_r: 0.750
(ep: 3, it: 47200, t: 0.057[s], ept: 0.73/2.33[h]) loss_total: 0.464, acc_r: 0.820
(ep: 3, it: 52200, t: 0.057[s], ept: 0.80/2.33[h]) loss_total: 0.540, acc_r: 0.710
(ep: 3, it: 57200, t: 0.057[s], ept: 0.88/2.33[h]) loss_total: 0.340, acc_r: 0.860
(ep: 3, it: 62200, t: 0.057[s], ept: 0.96/2.33[h]) loss_total: 0.496, acc_r: 0.710
(ep: 3, it: 67200, t: 0.057[s], ept: 1.03/2.33[h]) loss_total: 0.430, acc_r: 0.850
(ep: 3, it: 72200, t: 0.057[s], ept: 1.11/2.33[h]) loss_total: 0.383, acc_r: 0.840
(ep: 3, it: 77200, t: 0.057[s], ept: 1.19/2.33[h]) loss_total: 0.468, acc_r: 0.780
(ep: 3, it: 82200, t: 0.057[s], ept: 1.27/2.33[h]) loss_total: 0.553, acc_r: 0.750
(ep: 3, it: 87200, t: 0.057[s], ept: 1.34/2.33[h]) loss_total: 0.465, acc_r: 0.790
(ep: 3, it: 92200, t: 0.057[s], ept: 1.42/2.33[h]) loss_total: 0.543, acc_r: 0.730
(ep: 3, it: 97200, t: 0.057[s], ept: 1.50/2.33[h]) loss_total: 0.491, acc_r: 0.830
(ep: 3, it: 102200, t: 0.057[s], ept: 1.57/2.33[h]) loss_total: 0.475, acc_r: 0.740
(ep: 3, it: 107200, t: 0.057[s], ept: 1.65/2.33[h]) loss_total: 0.530, acc_r: 0.770
(ep: 3, it: 112200, t: 0.057[s], ept: 1.73/2.33[h]) loss_total: 0.461, acc_r: 0.820
(ep: 3, it: 117200, t: 0.057[s], ept: 1.80/2.33[h]) loss_total: 0.448, acc_r: 0.820
(ep: 3, it: 122200, t: 0.057[s], ept: 1.88/2.33[h]) loss_total: 0.454, acc_r: 0.770
